city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,mileage_kmpl,engine_cc
bangalore,manual,3,maruti,maruti celerio,2015,vxi,400000.0,2015,petrol,120000.0,23.1,998
bangalore,manual,2,ford,ford ecosport,2018,1.5 petrol titanium bsiv,811000.0,2018,petrol,32706.0,17.0,1497
bangalore,manual,1,tata,tata tiago,2018,1.2 revotron xz,585000.0,2018,petrol,11949.0,23.84,1199
bangalore,manual,1,hyundai,hyundai xcent,2014,1.2 kappa s option,462000.0,2014,petrol,17794.0,19.1,1197
bangalore,manual,1,maruti,maruti sx4 s cross,2015,ddis 200 zeta,790000.0,2015,diesel,60000.0,23.65,1248
bangalore,manual,1,datsun,datsun go,2017,t option bsiv,345000.0,2017,petrol,37772.0,20.63,1198
bangalore,automatic,1,hyundai,hyundai venue,2021,sx plus turbo dct bsiv,1200000.0,2021,petrol,30000.0,18.15,998
bangalore,automatic,1,maruti,maruti ciaz,2018,alpha automatic bsiv,960000.0,2018,petrol,37000.0,20.28,1462
bangalore,manual,1,tata,tata tiago,2017,1.2 revotron xz wo alloy,585000.0,2018,petrol,11949.0,23.84,1199
bangalore,manual,1,maruti,maruti baleno,2018,1.2 delta,690000.0,2018,petrol,50000.0,21.4,1197
bangalore,automatic,1,hyundai,hyundai grand i10,2019,1.2 kappa sportz option at,682000.0,2019,petrol,24887.0,18.9,1197
bangalore,automatic,1,honda,honda jazz,2018,vx cvt,825000.0,2018,petrol,23000.0,18.2,1199
bangalore,automatic,1,tata,tata tiago,2018,1.2 revotron xza,595000.0,2018,petrol,48928.0,23.84,1199
bangalore,manual,3,mahindra,mahindra xuv500,2014,w6 2wd,690000.0,2014,diesel,108862.0,15.1,2179
bangalore,manual,1,jeep,jeep compass,2018,2.0 limited,1350000.0,2018,diesel,80000.0,17.1,1956
bangalore,manual,2,hyundai,hyundai i20,2014,asta 1.4 crdi,521000.0,2014,diesel,65376.0,21.27,1396
bangalore,manual,1,tata,tata nexon,2022,xm plus s bsvi,1005000.0000000001,2022,petrol,10000.0,17.33,1199
bangalore,manual,2,honda,honda city,2016,i vtec v,775000.0,2016,petrol,67000.0,17.8,1497
bangalore,manual,1,maruti,maruti swift,2016,vxi,582000.0,2016,petrol,18083.0,22.38,1197
bangalore,manual,1,renault,renault duster,2020,rxs,1090000.0,2020,petrol,30000.0,16.42,1498
bangalore,manual,2,tata,tata tiago,2016,1.2 revotron xz,457000.0,2016,petrol,57634.0,23.84,1199
bangalore,manual,1,honda,honda city,2015,i vtec v,550000.0,2015,petrol,110000.0,17.4,1497
bangalore,automatic,1,hyundai,hyundai santro,2018,sportz amt bsiv,570000.0,2018,petrol,23447.0,20.3,1086
bangalore,manual,2,hyundai,hyundai santro xing,2009,gls lpg,220000.00000000003,2009,lpg,30000.0,13.45,1086
bangalore,manual,2,mahindra,mahindra xuv500,2014,w6 2wd,861000.0,2014,diesel,87667.0,15.1,2179
bangalore,manual,2,mahindra,mahindra xuv500,2014,w8 2wd,802999.9999999999,2014,diesel,79012.0,15.1,2179
bangalore,manual,1,hyundai,hyundai xcent,2018,1.2 vtvt sx,674000.0,2018,petrol,50000.0,20.14,1197
bangalore,manual,1,maruti,maruti wagon r,2015,vxi bs iv,349000.0,2015,petrol,12434.0,20.51,998
bangalore,manual,2,maruti,maruti ertiga,2019,zxi plus petrol,1050000.0,2019,petrol,60000.0,19.34,1462
bangalore,manual,2,maruti,maruti wagon r,2015,vxi bs iv,405999.99999999994,2015,petrol,40987.0,20.51,998
bangalore,manual,3,toyota,toyota fortuner,2011,3.0 diesel,1100000.0,2011,diesel,120000.0,11.5,2982
bangalore,automatic,2,renault,renault duster,2020,rxz 110ps amt bsiv,1100000.0,2020,diesel,40000.0,19.87,1461
bangalore,manual,1,hyundai,hyundai i20,2016,sportz 1.2,594000.0,2016,petrol,89667.0,18.6,1197
bangalore,manual,1,hyundai,hyundai i20,2017,asta option 1.4 crdi,710000.0,2017,diesel,120000.0,22.54,1396
bangalore,manual,1,maruti,maruti baleno,2017,1.2 zeta,692000.0,2017,petrol,56997.0,21.4,1197
bangalore,manual,1,hyundai,hyundai elantra,2013,sx,650000.0,2013,petrol,120000.0,16.3,1797
bangalore,manual,1,maruti,maruti alto 800,2021,vxi plus bsvi,411000.00000000006,2021,petrol,18835.0,22.05,796
bangalore,manual,2,mahindra,mahindra scorpio,2010,sle 7s bsiii,650000.0,2010,diesel,120000.0,12.05,2179
bangalore,manual,1,tata,tata tiago,2019,xz plus,610000.0,2019,petrol,60932.0,23.84,1199
bangalore,automatic,2,kia,kia seltos,2020,gtx plus dct,1675000.0,2020,petrol,33539.0,16.5,1353
bangalore,manual,2,tata,tata tiago,2018,1.2 revotron xz wo alloy,530000.0,2018,petrol,66837.0,23.84,1199
bangalore,manual,2,maruti,maruti alto,2008,lxi,250000.0,2008,petrol,60000.0,19.7,796
bangalore,manual,1,hyundai,hyundai i20,2019,magna plus bsiv,715000.0,2019,petrol,44285.0,18.6,1197
