city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,mileage_kmpl,engine_cc,car_age,model_age,registration_lag,normalized_model_age,kms_bins,mileage_normalized,high_mileage,multiple_owners,brand_popularity,kms_per_year
bangalore,manual,3,maruti,maruti celerio,2015,vxi,400000.0,2015,petrol,120000.0,23.1,998,9,9,0,0.9,High,0.648876404494382,0,1,503886.0239819005,12000.0
bangalore,manual,2,ford,ford ecosport,2018,1.5 petrol titanium bsiv,811000.0,2018,petrol,32706.0,17.0,1497,6,6,0,0.8571428571428571,Low,0.47752808988764045,0,1,538652.329749104,4672.285714285715
bangalore,manual,1,tata,tata tiago,2018,1.2 revotron xz,585000.0,2018,petrol,11949.0,23.84,1199,6,6,0,0.8571428571428571,Low,0.6696629213483146,0,0,617492.5013404826,1707.0
bangalore,manual,1,hyundai,hyundai xcent,2014,1.2 kappa s option,462000.0,2014,petrol,17794.0,19.1,1197,10,10,0,0.9090909090909091,Low,0.5365168539325843,0,0,575329.531685678,1617.6363636363637
bangalore,manual,1,maruti,maruti sx4 s cross,2015,ddis 200 zeta,790000.0,2015,diesel,60000.0,23.65,1248,9,9,0,0.9,Moderate,0.6643258426966292,0,0,503886.0239819005,6000.0
bangalore,manual,1,datsun,datsun go,2017,t option bsiv,345000.0,2017,petrol,37772.0,20.63,1198,7,7,0,0.875,Low,0.5794943820224718,0,0,347810.8108108108,4721.5
bangalore,automatic,1,hyundai,hyundai venue,2021,sx plus turbo dct bsiv,1200000.0,2021,petrol,30000.0,18.15,998,3,3,0,0.75,Low,0.5098314606741572,0,0,575329.531685678,7500.0
bangalore,automatic,1,maruti,maruti ciaz,2018,alpha automatic bsiv,960000.0,2018,petrol,37000.0,20.28,1462,6,6,0,0.8571428571428571,Low,0.5696629213483146,0,0,503886.0239819005,5285.714285714285
bangalore,manual,1,tata,tata tiago,2017,1.2 revotron xz wo alloy,585000.0,2018,petrol,11949.0,23.84,1199,6,7,1,0.75,Low,0.6696629213483146,0,0,617492.5013404826,1707.0
bangalore,manual,1,maruti,maruti baleno,2018,1.2 delta,690000.0,2018,petrol,50000.0,21.4,1197,6,6,0,0.8571428571428571,Low,0.6011235955056179,0,0,503886.0239819005,7142.857142857143
bangalore,automatic,1,hyundai,hyundai grand i10,2019,1.2 kappa sportz option at,682000.0,2019,petrol,24887.0,18.9,1197,5,5,0,0.8333333333333334,Low,0.5308988764044943,0,0,575329.531685678,4147.833333333333
bangalore,automatic,1,honda,honda jazz,2018,vx cvt,825000.0,2018,petrol,23000.0,18.2,1199,6,6,0,0.8571428571428571,Low,0.5112359550561797,0,0,621019.765258216,3285.714285714286
bangalore,automatic,1,tata,tata tiago,2018,1.2 revotron xza,595000.0,2018,petrol,48928.0,23.84,1199,6,6,0,0.8571428571428571,Low,0.6696629213483146,0,0,617492.5013404826,6989.714285714285
bangalore,manual,3,mahindra,mahindra xuv500,2014,w6 2wd,690000.0,2014,diesel,108862.0,15.1,2179,10,10,0,0.9090909090909091,High,0.4241573033707865,0,1,889729.1666666666,9896.545454545454
bangalore,manual,1,jeep,jeep compass,2018,2.0 limited,1350000.0,2018,diesel,80000.0,17.1,1956,6,6,0,0.8571428571428571,Moderate,0.4803370786516854,0,0,1350420.2898550725,11428.57142857143
bangalore,manual,2,hyundai,hyundai i20,2014,asta 1.4 crdi,521000.0,2014,diesel,65376.0,21.27,1396,10,10,0,0.9090909090909091,Moderate,0.5974719101123596,0,1,575329.531685678,5943.272727272727
bangalore,manual,1,tata,tata nexon,2022,xm plus s bsvi,1005000.0,2022,petrol,10000.0,17.33,1199,2,2,0,0.6666666666666666,Very_Low,0.4867977528089887,0,0,617492.5013404826,3333.3333333333335
bangalore,manual,2,honda,honda city,2016,i vtec v,775000.0,2016,petrol,67000.0,17.8,1497,8,8,0,0.8888888888888888,Moderate,0.5,0,1,621019.765258216,7444.444444444444
bangalore,manual,1,maruti,maruti swift,2016,vxi,582000.0,2016,petrol,18083.0,22.38,1197,8,8,0,0.8888888888888888,Low,0.6286516853932583,0,0,503886.0239819005,2009.2222222222222
bangalore,manual,1,renault,renault duster,2020,rxs,1090000.0,2020,petrol,30000.0,16.42,1498,4,4,0,0.8,Low,0.4612359550561798,0,0,536132.6860841424,6000.0
bangalore,manual,2,tata,tata tiago,2016,1.2 revotron xz,457000.0,2016,petrol,57634.0,23.84,1199,8,8,0,0.8888888888888888,Moderate,0.6696629213483146,0,1,617492.5013404826,6403.777777777777
bangalore,manual,1,honda,honda city,2015,i vtec v,550000.0,2015,petrol,110000.0,17.4,1497,9,9,0,0.9,High,0.48876404494382014,0,0,621019.765258216,11000.0
